標題,觀看次數,日期,喜歡次數,留言次數
此生必去！肯亞safari豪華帳篷酒店🦁,53283,2024年3月19日,1407,
*這樣畫直接少10歲！5個超減齡小技巧,60329,2024年3月14日,1380,
從台灣扛到瑞典💦我的眼影收藏們,84032,2024年2月27日,2510,
好緊張😣 公開我做過哪些醫美,120251,2024年1月31日,2111,
2023年度愛用保養品｜這6瓶我的最愛❤️,131902,2024年1月23日,2501,
穿對顏色才有好命感✨台灣也有色彩鑑定啦😍,80704,2024年1月20日,1279,
就是這6支！2023年度最愛唇膏💄,108390,2024年1月11日,2006,
2023年度最愛彩妝｜Best makeup of 2023❤️,159118,2024年1月5日,3030,
移民到瑞典的第一天,239711,2023年12月23日,5065,
* 全臉開架彩妝✨韓國爆紅Lilybyred 全臉上妝,37901,2023年12月5日,548,
